id,y_2013_White,y_2013_Non_White
136011,0.53,0.08
136012,0.57,0.08
136021,0.64,0.12
136022,0.48,0.12
136023,0.5,0.12
136024,0.52,0.12
137001,0.12,0.04
137002,0.23,0.04
137003,0.28,0.04
137004,0.04,0.04
137005,0.11,0.04
138001,0.88,0.12
138002,0.9,0.12
138003,1,0.12
138004,0.21,0.12
138005,0.7,0.12
139001,0.54,0.12
139002,0.77,0.12
139003,0.28,0.12
139004,0.7,0.12
140001,0.49,0.18
140002,0.4,0.18
142001,0.78,0.13
142002,0.4,0.13
142003,0.81,0.13
142004,0.61,0.13
143001,0.6,0.18
143002,0.36,0.18
143003,0.59,0.18
143004,0.53,0.18
145011,0.37,0.16
145012,0.34,0.16
