id,y_2000,y_2013
136011,59900,78600
136012,76700,107100
136021,64000,77600
136022,83200,130300
136023,81800,89200
136024,67300,86800
137001,91700,240400
137002,116200,124500
137003,169100,150500
137004,87800,251800
137005,156700,141400
138001,65900,74300
138002,56800,73200
138003,46400,73600
138004,57800,0
138005,54500,86700
139001,55700,0
139002,40000,66800
139003,31600,65000
139004,54500,59400
140001,78700,64000
140002,57700,71300
142001,49300,72000
142002,46400,57600
142003,44300,78500
142004,10000,0
143001,43600,55400
143002,58900,0
143003,40500,33900
143004,44600,92900
145011,65000,67500
145012,56700,75000
