id,y_2000,y_2010,y_2013
136011,1667,1777,1752
136012,873,1315,889
136021,1507,1152,1570
136022,836,758,751
136023,1201,1159,957
136024,1077,1069,1171
137001,864,1016,1404
137002,744,725,509
137003,1167,835,758
137004,542,650,615
137005,1060,915,732
138001,754,959,904
138002,844,728,702
138003,648,620,431
138004,1664,616,621
138005,0,1762,1498
139001,1894,644,674
139002,847,1289,1185
139003,1007,791,823
139004,834,1785,2050
140001,1263,1093,1064
140002,1632,1986,2199
142001,637,1011,812
142002,887,769,752
142003,1051,1002,1131
142004,554,721,965
143001,1012,723,443
143002,726,755,783
143003,873,870,805
143004,748,697,520
145011,759,683,684
145012,617,617,694
