id,y_2010,y_2013
136011,0.07,-0.01
136012,0.51,-0.32
136021,-0.24,0.36
136022,-0.09,-0.01
136023,-0.03,-0.17
136024,-0.01,0.1
137001,0.18,0.38
137002,-0.03,-0.3
137003,-0.28,-0.09
137004,0.2,-0.05
137005,-0.14,-0.2
138001,0.27,-0.06
138002,-0.14,-0.04
138003,-0.04,-0.3
138004,-0.63,0.01
138005,0,-0.15
139001,-0.66,0.05
139002,0.52,-0.08
139003,-0.21,0.04
139004,1.14,0.15
140001,-0.13,-0.03
140002,0.22,0.11
142001,0.59,-0.2
142002,-0.13,-0.02
142003,-0.05,0.13
142004,0.3,0.34
143001,-0.29,-0.39
143002,0.04,0.04
143003,0,-0.07
143004,-0.07,-0.25
145011,-0.1,0
145012,0,0.12
