id,y_2013_High_School,y_2013_Under_Graduates,y_2013_Post_Graduates,y_2013_No_Diploma
136011,0.38,0.11,0.04,0.28
136012,0.22,0.14,0,0.22
136021,0.36,0.09,0,0.29
136022,0.26,0.15,0.09,0.16
136023,0.27,0.18,0.02,0.22
136024,0.37,0.09,0.06,0.19
137001,0.06,0.48,0.11,0.01
137002,0.04,0.25,0.29,0.11
137003,0.36,0.21,0.05,0.11
137004,0.09,0.47,0.35,0.01
137005,0.26,0.36,0.04,0.16
138001,0.23,0.02,0,0.31
138002,0.5,0,0,0.29
138003,0.54,0.02,0,0.28
138004,0.15,0,0,0.38
138005,0.31,0.05,0.02,0.4
139001,0.36,0.03,0,0.31
139002,0.29,0.09,0,0.4
139003,0.55,0.01,0,0.25
139004,0.23,0.06,0.01,0.41
140001,0.29,0.06,0.01,0.45
140002,0.31,0.08,0.03,0.29
142001,0.36,0.03,0,0.37
142002,0.39,0.04,0,0.23
142003,0.48,0.02,0,0.35
142004,0.4,0.01,0,0.16
143001,0.25,0,0,0.63
143002,0.23,0.13,0,0.46
143003,0.15,0.01,0.05,0.58
143004,0.6,0.05,0.03,0.28
145011,0.5,0,0,0.22
145012,0.33,0.03,0,0.49
